what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1361409166604
started,bundle,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor",1361409166604
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1361409166636
started,bundle,org.eclipse.jst.jee,1.0.303.v201103311600,"org.eclipse.jst.jee",1361409167870
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1361409168417
started,bundle,org.eclipse.wst.html.core,1.1.406.v201109271810,"org.eclipse.wst.html.core",1361409168526
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1361409168573
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1361409169604
started,bundle,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.ui",1361409170261
started,bundle,org.eclipse.jst.jsp.core,1.2.308.v201109202150,"org.eclipse.jst.jsp.core",1361409170354
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1361409171058
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1361409171245
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1361409171979
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1361409172042
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1361409172058
opened,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409175245
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1361409175495
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1361409175526
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1361409175776
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1361409175808
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1361409175933
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409178089
started,bundle,org.eclipse.wb.os,0.9.0.r36x201104251542,"org.eclipse.wb.os",1361409191229
started,bundle,org.eclipse.wb.os.win32,0.9.0.r36x201104251542,"org.eclipse.wb.os.win32",1361409191245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409212808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409215073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409215089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409216886
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1361409218604
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409218667
closed,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1361409218761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409222089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409222526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1361409227683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409236120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409240104
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1361409243323
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409245511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1361409311526
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361409315386
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1361409316058
started,bundle,org.eclipse.m2e.launching,1.3.1.20130219-1424,"org.eclipse.m2e.launching",1361409327495
executed,command,org.eclipse.m2e.launching,1.3.1.20130219-1424,"org.eclipse.m2e.actions.LifeCycleGenerateSources.run",1361409327558
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1361409327683
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1361409328870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409332995
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361409333292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409357339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409383495
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409390229
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409395636
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409395683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409401542
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1361409405417
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361409406464
started,bundle,com.google.gdt.eclipse.maven,2.3.0.r36v201104261928,"com.google.gdt.eclipse.maven",1361409410433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409411183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409418308
executed,command,org.eclipse.m2e.launching,1.3.1.20130219-1424,"org.eclipse.m2e.core.pomFileAction.run",1361409418339
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361409427089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409437886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409445808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409446386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409605386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409606620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409635261
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409647589
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361409647714
closed,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409647714
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361409650542
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1361409652292
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1361409652808
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1361409652808
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1361409660183
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1361409661354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409663183
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1361409692151
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1361409692198
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1361409692198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409700073
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1361409700261
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361409720136
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361409724276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409724667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409746651
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1361409771448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409799479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409805620
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1361409807386
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1361409807792
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1361409807854
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361409815167
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1361409815167
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1361409820761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409822979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1361409823026
